variant,cls,acc,dice,iou,prec,rec
single_noTTA,benign,0.9985961914060977,0.8516129032120707,0.7415730336870344,0.907216494814185,0.8024316109178592
single_noTTA,benign,0.9904632568357864,0.9681528662415448,0.9382716049373448,0.9426473506638791,0.9950769875343091
single_noTTA,benign,0.9921264648435987,0.9334537013142463,0.8752116082203744,0.9858349223617929,0.8863580700443636
single_noTTA,malignant,0.9751129150389137,0.81425805716796,0.6867076450236521,0.7313829787219079,0.9183149242206055
single_noTTA,malignant,0.9318389892576704,0.9080656115579848,0.8316118817849699,0.9789226127081208,0.8467738840053557
single_noTTA,benign,0.9951477050779732,0.9411111111093683,0.8887722980031872,0.9632297194808066,0.9199855177374368
single_noTTA,malignant,0.9780120849607883,0.9341377576667425,0.876415094338871,0.9389874115584498,0.9293379410686345
single_noTTA,normal,0.9791412353514132,0.0,0.0,0.0,0.0
single_noTTA,benign,0.9917907714842237,0.9450347364109674,0.8957970172363049,0.903496776712437,0.9905761404990564
single_noTTA,benign,0.9974822998045353,0.8957675300006586,0.8112128146360273,0.947860962554173,0.8491017963970168
single_noTTA,malignant,0.9841156005857874,0.9601683566095427,0.9233882837791261,0.9407662892697451,0.9803875605555709
single_noTTA,benign,0.6938018798827067,0.43096554657580294,0.2746692691389161,0.27595598649080294,0.9833074534148767
single_noTTA,malignant,0.9644012451170404,0.8597029286181612,0.7539289104516886,0.7549640895640526,0.998184611086443
single_noTTA,benign,0.9169006347654851,0.0,0.0,0.0,0.0
single_noTTA,normal,0.9554290771482917,0.0,0.0,0.0,0.0
single_noTTA,benign,0.9868469238279745,0.9317173637508461,0.8721637253435086,0.8868948876475843,0.9813115301168341
single_noTTA,benign,0.9403533935545441,0.8989217283373675,0.8164012963220063,0.971495640509182,0.8364371300703352
single_noTTA,benign,0.9991912841795351,0.9587548638057686,0.9207772795079107,0.958009331244821,0.9595015576174533
single_noTTA,malignant,0.9015960693357999,0.0,0.0,0.0,0.0
single_noTTA,benign,0.8993225097654878,0.6809169165293157,0.5162047220996361,0.5178755333231441,0.9937888198743735
single_noTTA,benign,0.6924591064452069,0.0005950314870825631,0.0002976042855015636,0.9999999983333333,0.0002976042855015636
single_noTTA,benign,0.9364471435545446,0.9168911503540025,0.8465364775236379,0.9641613160430718,0.8740394126147477
single_noTTA,normal,1.0,1.0,1.0,1.0,1.0
single_noTTA,benign,0.9983215332029727,0.9606017191942672,0.9241902136393922,0.9524147727205085,0.9689306358311495
single_noTTA,malignant,0.9455261230467308,0.8841435711037566,0.7923452768725032,0.8104956268216752,0.9725137431277414
single_noTTA,malignant,0.9453277587889183,0.9094310052827509,0.8339050621171732,0.9639374129241431,0.8607588879846592
single_noTTA,benign,0.9970703124998479,0.9319148936137166,0.8725099601535691,0.8884381338682324,0.9798657718047736
single_noTTA,malignant,0.9680938720701648,0.9231899496745681,0.8573377908160896,0.9578473969045217,0.8909529211564868
single_noTTA,benign,0.9950103759764107,0.7880751782191311,0.6502673796721896,0.703703703695559,0.8954344624315842
single_noTTA,malignant,0.947372436523293,0.8684140246458096,0.7674308833440543,0.7973238055199682,0.9534221328634049
single_noTTA,normal,0.9666442871092276,0.0,0.0,0.0,0.0
single_noTTA,benign,0.9916687011717237,0.9305520223849777,0.8701236917200996,0.8992133726624897,0.964153927251017
single_noTTA,benign,0.9819335937498502,0.885537509666584,0.7945870922956374,0.8143669985760769,0.9703389830487916
