file,cls,mode,method,acc,dice,iou,prec,rec
malignant_malignant_129.png,malignant,auto,RegionGrowing,0.6074829101561573,0.02494124782047421,0.012628104249025975,0.9999999999696049,0.012628104249025975
benign_benign_65.png,benign,oracle,Watershed,0.989593505859224,0.8674183514757632,0.7658771026406939,0.936607892523356,0.807748008686431
benign_benign_65.png,benign,oracle,Otsu,0.9817504882811002,0.8043833823997312,0.672777017782017,0.733591885439339,0.8902968863110416
benign_benign_65.png,benign,oracle,RegionGrowing,0.9815673828123502,0.7201112140854492,0.5626357711782671,0.999999999993565,0.5626357711782671
benign_benign_65.png,benign,auto,Watershed,0.04214477539061857,0.08088084570557251,0.04214477539061857,0.04214477539061857,0.9999999999963795
benign_benign_65.png,benign,auto,Otsu,0.43798828124993316,0.12421533193833836,0.06622046445592075,0.06647325291391397,0.9456915278749252
benign_benign_65.png,benign,auto,RegionGrowing,0.8023986816405027,0.018642012731116517,0.009408704964423307,0.011788384128798362,0.04453294713959257
malignant_malignant_185.png,malignant,oracle,Watershed,0.9358367919920447,0.8083321938097414,0.6783200734388936,0.8102896829015714,0.8063841396864255
malignant_malignant_185.png,malignant,oracle,Otsu,0.8324432373045605,0.6169730370781621,0.44610340479170435,0.5004243761667513,0.8042924699883555
malignant_malignant_185.png,malignant,oracle,RegionGrowing,0.8880615234373646,0.5009523809520401,0.33418043202002706,0.9940604751593033,0.33484903601279115
malignant_malignant_185.png,malignant,auto,Watershed,0.1677856445312244,0.28735692259443274,0.1677856445312244,0.1677856445312244,0.9999999999990905
malignant_malignant_185.png,malignant,auto,Otsu,0.5155181884764839,0.33013354712117765,0.19770056854069548,0.21492734115314263,0.7115314659869847
malignant_malignant_185.png,malignant,auto,RegionGrowing,0.7929229736326916,0.05250296725542658,0.02695920269590094,0.11301472798282833,0.03419425245540724
normal_normal_57.png,normal,oracle,Watershed,1.0,1.0,1.0,1.0,1.0
normal_normal_57.png,normal,oracle,Otsu,1.0,1.0,1.0,1.0,1.0
normal_normal_57.png,normal,oracle,RegionGrowing,1.0,1.0,1.0,1.0,1.0
normal_normal_57.png,normal,auto,Watershed,0.0,0.0,0.0,0.0,0.0
normal_normal_57.png,normal,auto,Otsu,0.3974761962890019,0.0,0.0,0.0,0.0
normal_normal_57.png,normal,auto,RegionGrowing,0.6014251708983458,0.0,0.0,0.0,0.0
benign_benign_375.png,benign,oracle,Watershed,0.9903106689451614,0.9297488660239741,0.8687202811642161,0.9615560640710262,0.8999785821355751
benign_benign_375.png,benign,oracle,Otsu,0.9396972656248567,0.6538798388503644,0.4857514638900641,0.5531189805888974,0.7995288070233465
benign_benign_375.png,benign,oracle,RegionGrowing,0.9392700195311067,0.4991190536112521,0.33255072949801684,0.6051266402178666,0.42471621332100085
benign_benign_375.png,benign,auto,Watershed,0.4875335693358631,0.0,0.0,0.0,0.0
benign_benign_375.png,benign,auto,Otsu,0.5646362304686638,0.1533028666389242,0.0830146231720768,0.08897998553167902,0.5532233883046622
benign_benign_375.png,benign,auto,RegionGrowing,0.8620300292967435,0.0,0.0,0.0,0.0
benign_benign_429.png,benign,oracle,Watershed,0.9976501464842228,0.9001297016802846,0.8183962264054434,0.9816124469450974,0.8311377245409445
benign_benign_429.png,benign,oracle,Otsu,0.9954376220701606,0.8021178027743077,0.6696132596611093,0.8964497041287507,0.7257485029853203
benign_benign_429.png,benign,oracle,RegionGrowing,0.9887542724607866,0.21007502679303242,0.11736526945967227,0.9999999998979593,0.11736526945967227
benign_benign_429.png,benign,auto,Watershed,0.012741088867185557,0.025161591659003908,0.012741088867185557,0.012741088867185557,0.9999999999880239
benign_benign_429.png,benign,auto,Otsu,0.36871337890619377,0.03584246096480172,0.01824826178780327,0.018276886512176287,0.9209580838213058
benign_benign_429.png,benign,auto,RegionGrowing,0.8374633789061222,0.0,0.0,0.0,0.0
malignant_malignant_85.png,malignant,oracle,Watershed,0.8597259521483064,0.7027324171380104,0.5417019791612036,0.5994373034696312,0.8490389123293881
malignant_malignant_85.png,malignant,oracle,Otsu,0.826080322265499,0.6497879923798163,0.48124886218802054,0.5354466275063118,0.8262228473192481
malignant_malignant_85.png,malignant,oracle,RegionGrowing,0.8565826416014318,0.41970735321329894,0.26558837318310236,0.999999999997058,0.26558837318310236
malignant_malignant_85.png,malignant,auto,Watershed,0.19528198242184522,0.32675466591769514,0.19528198242184522,0.19528198242184522,0.9999999999992185
malignant_malignant_85.png,malignant,auto,Otsu,0.6247863769530297,0.4724308088392035,0.30926966292126146,0.32562403880269564,0.8602906704165805
malignant_malignant_85.png,malignant,auto,RegionGrowing,0.7582397460936343,0.3615923926181152,0.22069745708513072,0.37329450915110374,0.3506016565085555
benign_benign_397.png,benign,oracle,Watershed,0.947372436523293,0.7721778188778835,0.6289003658267388,0.7886924841441254,0.7563405797091662
benign_benign_397.png,benign,oracle,Otsu,0.8865661621092398,0.6350515463914408,0.46525679758274685,0.5116279069763394,0.8369565217380475
benign_benign_397.png,benign,oracle,RegionGrowing,0.9057769775389243,0.483393290386946,0.3187334510146527,0.6837869822469023,0.3738354037262243
benign_benign_397.png,benign,auto,Watershed,0.11791992187498201,0.21096309237821975,0.11791992187498201,0.11791992187498201,0.999999999998706
benign_benign_397.png,benign,auto,Otsu,0.5417175292967924,0.23550374179090885,0.13346797461046353,0.14658723619996622,0.5986024844712751
benign_benign_397.png,benign,auto,RegionGrowing,0.7396240234373872,0.22626280946756766,0.1275627588321859,0.17415887198089197,0.32285196687328827
malignant_malignant_119.png,malignant,oracle,Watershed,0.9439544677732935,0.7874298281145972,0.649389079800831,0.6723660802523499,0.9500069822637202
malignant_malignant_119.png,malignant,oracle,Otsu,0.874496459960804,0.6153126607732962,0.4443693845839057,0.4625879043597309,0.9185867895532488
malignant_malignant_119.png,malignant,oracle,RegionGrowing,0.9050292968748619,0.39619712844354266,0.24703605129416034,0.6488719415295555,0.285155704510145
malignant_malignant_119.png,malignant,auto,Watershed,0.10926818847654583,0.19700950520651514,0.10926818847654583,0.10926818847654583,0.9999999999986036
malignant_malignant_119.png,malignant,auto,Otsu,0.5300445556639817,0.2834609031476902,0.16513512780890593,0.17006308972135278,0.8507191732986304
malignant_malignant_119.png,malignant,auto,RegionGrowing,0.8473663330076833,0.3518434523421552,0.21347696178627654,0.3282156673110152,0.3791369920396884
benign_benign_235.png,benign,oracle,Watershed,0.9435729980467311,0.7358571428566172,0.5820996722786957,0.6021744213226534,0.9458318031565446
benign_benign_235.png,benign,oracle,Otsu,0.8972473144529881,0.5516644474030947,0.3808954674998796,0.43273448924124425,0.7607418288638254
benign_benign_235.png,benign,oracle,RegionGrowing,0.9388580322264193,0.5562077749467756,0.38524087143236385,0.7008093776145665,0.46107234667561314
benign_benign_235.png,benign,auto,Watershed,0.08309936523436233,0.1534473528499967,0.08309936523436233,0.08309936523436233,0.9999999999981638
benign_benign_235.png,benign,auto,Otsu,0.4792480468749269,0.1995872226651814,0.11085636870486652,0.11440632394060164,0.7813073815630164
